A	B	C	b_limite	Volumen	Area
1.100000	0.300000	6.000000	6.098000	80.043410	110.156900
1.300000	0.300000	6.100000	6.236000	83.589680	113.762900
1.400000	0.300000	6.100000	6.258000	83.265900	113.699000
1.500000	0.300000	6.100000	6.280000	82.915660	113.617900
1.500000	0.300000	6.200000	6.378000	87.152210	117.398400
1.600000	0.300000	6.100000	6.306000	82.538920	113.544600
1.600000	0.300000	6.200000	6.402000	86.770070	117.315800
1.600000	0.300000	6.300000	6.498000	91.141330	121.147100
1.700000	0.300000	6.100000	6.332000	82.135030	113.453500
1.700000	0.300000	6.200000	6.428000	86.360120	117.228000
1.700000	0.300000	6.300000	6.524000	90.725590	121.062800
1.800000	0.300000	6.100000	6.360000	81.703490	113.356200
1.800000	0.300000	6.200000	6.456000	85.922450	117.134600
1.800000	0.300000	6.300000	6.552000	90.281780	120.973200
1.800000	0.300000	6.400000	6.648000	94.783420	124.872200
1.900000	0.300000	6.100000	6.388000	81.243700	113.240300
1.900000	0.300000	6.200000	6.484000	85.456210	117.022500
1.900000	0.300000	6.300000	6.580000	89.809170	120.864800
1.900000	0.300000	6.400000	6.676000	94.304320	124.767500
2.000000	0.300000	6.100000	6.418000	80.755260	113.117400
2.000000	0.300000	6.200000	6.514000	84.961070	116.903700
2.000000	0.300000	6.300000	6.608000	89.307080	120.737600
2.000000	0.300000	6.400000	6.704000	93.795450	124.644200
2.000000	0.300000	6.500000	6.800000	98.428630	128.610900
2.100000	0.300000	6.100000	6.450000	80.237350	112.986400
2.100000	0.300000	6.200000	6.544000	84.436180	116.765300
2.100000	0.300000	6.300000	6.640000	88.775220	120.615900
2.100000	0.300000	6.400000	6.734000	93.256420	124.514300
2.100000	0.300000	6.500000	6.830000	97.882700	128.485300
2.200000	0.300000	6.200000	6.578000	83.881110	116.630600
2.200000	0.300000	6.300000	6.672000	88.212700	120.474100
2.200000	0.300000	6.400000	6.766000	92.686650	124.377200
2.200000	0.300000	6.500000	6.862000	97.305510	128.352600
2.200000	0.300000	6.600000	6.956000	102.071100	132.375500
2.300000	0.300000	6.200000	6.612000	83.295010	116.474900
2.300000	0.300000	6.300000	6.706000	87.619120	120.323600
2.300000	0.300000	6.400000	6.800000	92.085540	124.231900
2.300000	0.300000	6.500000	6.894000	96.696660	128.199800
2.300000	0.300000	6.600000	6.988000	101.454400	132.227400
2.400000	0.300000	6.200000	6.648000	82.677620	116.309500
2.400000	0.300000	6.300000	6.740000	86.993760	120.151700
2.400000	0.300000	6.400000	6.834000	91.452290	124.065400
2.400000	0.300000	6.500000	6.928000	96.055170	128.038500
2.400000	0.300000	6.600000	7.022000	100.805200	132.071200
2.400000	0.300000	6.700000	7.116000	105.704400	136.163800
2.500000	0.300000	6.200000	6.684000	82.027760	116.121500
2.500000	0.300000	6.300000	6.776000	86.336020	119.969700
2.500000	0.300000	6.400000	6.870000	90.786390	123.889300
2.500000	0.300000	6.500000	6.964000	95.381160	127.868100
2.500000	0.300000	6.600000	7.056000	100.123000	131.893800
2.500000	0.300000	6.700000	7.150000	105.013900	135.991900
2.500000	0.300000	6.800000	7.244000	110.056200	140.149000
2.600000	0.300000	6.200000	6.722000	81.345320	115.921900
2.600000	0.300000	6.300000	6.814000	85.645050	119.776700
2.600000	0.300000	6.400000	6.906000	90.086990	123.690400
2.600000	0.300000	6.500000	7.000000	94.673450	127.675100
2.600000	0.300000	6.600000	7.092000	99.406690	131.706900
2.600000	0.300000	6.700000	7.186000	104.289300	135.810500
