A,B,C,b_limite,Volumen,Area,Energia
2.15,0.3,6.6,6.94,102.3672,132.442,18.716325846094808
2.2,0.3,6.6,6.956,102.0711,132.3755,18.67668978071135
2.25,0.3,6.65,7.02,104.2035,134.3456,31.435542454989765
2.3,0.3,6.65,7.036,103.8892,134.2702,31.410597278113457
2.35,0.3,6.65,7.052,103.5669,134.1895,31.385203898034163
2.35,0.3,6.7,7.1,106.0372,136.2483,18.58280725738652
2.4,0.3,6.65,7.068,103.2361,134.1038,18.526303966002722
2.4,0.3,6.7,7.116,105.7044,136.1638,31.3686760359154
2.4,0.3,6.75,7.162,108.2106,138.226,31.377787940574795
2.45,0.3,6.65,7.086,102.8971,134.0253,18.48366349081321
2.45,0.3,6.7,7.132,105.3634,136.074,31.342763735042535
2.45,0.3,6.75,7.18,107.8674,138.1501,31.352218021721324
2.5,0.3,6.65,7.104,102.5498,133.9415,18.440346775076062
2.5,0.3,6.7,7.15,105.0139,135.9919,18.456588110268182
2.5,0.3,6.75,7.198,107.5161,138.0692,18.472497717581117
2.5,0.3,6.8,7.244,110.0562,140.149,18.488084361973044
2.55,0.3,6.65,7.122,102.1938,133.8525,31.279316094572437
2.55,0.3,6.7,7.168,104.6558,135.9038,31.289680984675964
2.55,0.3,6.75,7.214,107.1558,137.97,31.299836325353777
2.55,0.3,6.8,7.262,109.6939,140.0641,31.309781548786646
2.6,0.3,6.7,7.186,104.2893,135.8105,31.262525269168513
2.6,0.3,6.75,7.232,106.787,137.8783,31.273033351810636
2.6,0.3,6.8,7.28,109.3228,139.9735,18.402874162955744
2.65,0.3,6.7,7.204,103.9138,135.7114,31.23496798018671
2.65,0.3,6.75,7.25,106.4094,137.7806,18.342056757270488
2.65,0.3,6.8,7.298,108.9432,139.8771,18.3593234831428
2.65,0.3,6.85,7.344,111.5153,141.9762,31.266913376668967
2.7,0.3,6.7,7.222,103.5295,135.6069,31.20701567430964
2.7,0.3,6.75,7.268,106.023,137.6775,18.29731963250735
2.7,0.3,6.8,7.316,108.5544,139.7757,18.315156553402943
2.7,0.3,6.85,7.362,111.1245,141.876,18.332638311538936
2.75,0.3,6.7,7.242,103.1364,135.5089,18.23318566713927
2.75,0.3,6.75,7.288,105.6276,137.5813,18.251972374880808
2.75,0.3,6.8,7.334,108.157,139.6684,18.270384106982178
2.75,0.3,6.85,7.38,110.7247,141.7701,18.288430507031382
2.8,0.3,6.7,7.26,102.7345,135.3925,18.186649859211055
2.8,0.3,6.75,7.306,105.2235,137.4664,31.161919269260032
2.8,0.3,6.8,7.352,107.7503,139.5551,18.225016980625192
2.8,0.3,6.85,7.4,110.3159,141.6712,31.185124513203185
2.85,0.3,6.7,7.28,102.3234,135.2826,18.13952222032992
2.85,0.3,6.75,7.326,104.8099,137.3582,18.159492004360732
2.85,0.3,6.8,7.372,107.3347,139.4485,18.179066092818136
2.85,0.3,6.85,7.418,109.8978,141.5536,18.19825455355617
2.9,0.3,6.75,7.346,104.3875,137.2436,18.11238140984361
2.9,0.3,6.8,7.392,106.9098,139.336,18.132542467983626
2.9,0.3,6.85,7.438,109.4706,141.4428,31.12876411670802
2.95,0.3,6.75,7.366,103.9554,137.1231,18.064705712536465
2.95,0.3,6.8,7.412,106.4757,139.2173,31.087490666174297
2.95,0.3,6.85,7.458,109.0341,141.3255,31.10005415539664
3.0,0.3,6.75,7.386,103.5142,136.9961,18.01647641036274
3.0,0.3,6.8,7.432,106.0319,139.0922,18.03782154664198
3.0,0.3,6.85,7.478,108.5878,141.2025,18.05875090539881
3.05,0.3,6.75,7.406,103.0637,136.8629,31.01476563290272
3.05,0.3,6.8,7.452,105.5789,138.9604,31.028321593141456
3.05,0.3,6.85,7.498,108.1324,141.073,18.011162696636408
