    A       B       C     b_limite       Volumen           Area Superficial
 ================================================================================
  -2.000  -2.000  -2.000    2.8280      4.121448E+01     -7.608394E+01
  -2.000  -2.000  -1.900    2.7580               NaN     -5.993995E+01
  -2.000  -2.000  -1.800    2.6900               NaN     -4.749252E+01
  -2.000  -2.000  -1.700    2.6240               NaN     -3.735415E+01
  -2.000  -2.000  -1.600    2.5600               NaN     -2.905180E+01
  -2.000  -2.000  -1.500    2.4980               NaN     -2.230164E+01
  -2.000  -2.000  -1.400    2.4400               NaN     -1.684298E+01
  -2.000  -2.000  -1.300    2.3840               NaN     -1.247743E+01
  -2.000  -2.000  -1.200    2.3320               NaN     -9.051204E+00
  -2.000  -2.000  -1.100    2.2820               NaN     -6.370066E+00
  -2.000  -2.000  -1.000    2.2360               NaN     -4.345450E+00
  -2.000  -2.000  -0.900    2.1920               NaN     -2.836093E+00
  -2.000  -2.000  -0.800    2.1540               NaN     -1.772673E+00
  -2.000  -2.000  -0.700    2.1180               NaN     -1.034915E+00
  -2.000  -2.000  -0.600    2.0880               NaN     -5.628420E-01
  -2.000  -2.000  -0.500    2.0600               NaN     -2.667090E-01
  -2.000  -2.000  -0.400    2.0380               NaN     -1.076703E-01
  -2.000  -2.000  -0.300    2.0220               NaN     -3.436506E-02
  -2.000  -2.000  -0.200    2.0080               NaN     -6.168646E-03
  -2.000  -2.000  -0.100    2.0020               NaN     -3.498156E-04
  -2.000  -2.000   0.000    1.9980               NaN      0.000000E+00
  -2.000  -2.000   0.100    2.0020               NaN     -3.498156E-04
  -2.000  -2.000   0.200    2.0080               NaN     -6.168646E-03
  -2.000  -2.000   0.300    2.0220               NaN     -3.436506E-02
  -2.000  -2.000   0.400    2.0380               NaN     -1.076703E-01
  -2.000  -2.000   0.500    2.0600               NaN     -2.667092E-01
  -2.000  -2.000   0.600    2.0880               NaN     -5.628421E-01
  -2.000  -2.000   0.700    2.1180               NaN     -1.034915E+00
  -2.000  -2.000   0.800    2.1540               NaN     -1.772673E+00
