    A       B       C     b_limite       Volumen           Area Superficial
 ================================================================================
  -5.000   0.300  -4.000    6.4020               NaN      1.660323E+01
  -5.000   0.300  -3.900    6.3400               NaN      1.491238E+01
  -5.000   0.300  -3.800    6.2800               NaN      1.336689E+01
  -5.000   0.300  -3.700    6.2200               NaN      1.195389E+01
  -5.000   0.300  -3.600    6.1600               NaN      1.066485E+01
  -5.000   0.300  -3.500    6.1020               NaN      9.490189E+00
  -5.000   0.300  -3.400    6.0460               NaN      8.420932E+00
  -5.000   0.300  -3.300    5.9900               NaN      7.448782E+00
  -5.000   0.300  -3.200    5.9360               NaN      6.567755E+00
  -5.000   0.300  -3.100    5.8820               NaN      5.767747E+00
  -5.000   0.300  -3.000    5.8300               NaN      5.047256E+00
  -5.000   0.300  -2.900    5.7800               NaN      4.398467E+00
  -5.000   0.300  -2.800    5.7300               NaN      3.815493E+00
  -5.000   0.300  -2.700    5.6820               NaN      3.293492E+00
  -5.000   0.300  -2.600    5.6340               NaN      2.827302E+00
  -5.000   0.300  -2.500    5.5900               NaN      2.414123E+00
  -5.000   0.300  -2.400    5.5460               NaN      2.048198E+00
  -5.000   0.300  -2.300    5.5020               NaN      1.724899E+00
  -5.000   0.300  -2.200    5.4620               NaN      1.443002E+00
  -5.000   0.300  -2.100    5.4220               NaN      1.196929E+00
  -5.000   0.300  -2.000    5.3840               NaN      9.841170E-01
  -5.000   0.300  -1.900    5.3480               NaN      8.008195E-01
  -5.000   0.300  -1.800    5.3140               NaN      6.453904E-01
  -5.000   0.300  -1.700    5.2800               NaN      5.127578E-01
  -5.000   0.300  -1.600    5.2480               NaN      4.018484E-01
  -5.000   0.300  -1.500    5.2200               NaN      3.108391E-01
  -5.000   0.300  -1.400    5.1920               NaN      2.357031E-01
  -5.000   0.300  -1.300    5.1660               NaN      1.752092E-01
  -5.000   0.300  -1.200    5.1400               NaN      1.268356E-01
  -5.000   0.300  -1.100    5.1180               NaN      8.959044E-02
  -5.000   0.300  -1.000    5.0980               NaN      6.115722E-02
  -5.000   0.300  -0.900    5.0800               NaN      4.022220E-02
  -5.000   0.300  -0.800    5.0620               NaN      2.499215E-02
  -5.000   0.300  -0.700    5.0480               NaN      1.470425E-02
  -5.000   0.300  -0.600    5.0340               NaN      7.834451E-03
